N;M;K;P;p_osat1;p_osat2;p_osat3;p_osat4;p_osat5;p_anticlust1;p_anticlust2;p_anticlust3;p_anticlust4;p_anticlust5;p_anticlust_c1;p_anticlust_c2;p_anticlust_c3;p_anticlust_c4;p_anticlust_c5;p_ps1;p_ps2;p_ps3;p_ps4;p_ps5;OSAT_t;ANTICLUST_t;ANTICLUST_t_c;PS_t;diversity_unconstrained;diversity_constrained
122;4;2;4;0.8484169386084;0.306178540044062;0.906055864236723;0.249527876867334;NA;0.994580877512349;1;0.995321387616155;0.99572504971068;NA;0.909748951230886;0.96595580211253;0.975723584794288;0.966557777489275;NA;0.821342569913183;1;0.95447051997452;0.983103451857289;NA;2.33760714530945;0.00602579116821289;0.00713276863098145;15.4284195899963;7812.06527595488;7803.91202883645
280;2;10;4;0.999999911189943;0.999999952699701;NA;NA;NA;0.999999999999981;0.999999999999938;NA;NA;NA;0.999999999996693;0.999999999999938;NA;NA;NA;NA;NA;NA;NA;NA;2.38507962226868;0.0211334228515625;0.0375766754150391;NA;5528.14549402845;5523.56723612539
310;3;10;3;0.999991498406027;0.998610129220679;0.999999550024492;NA;NA;0.999999999962725;0.999999999999893;0.999999999956898;NA;NA;0.999999985543637;0.999999999990836;0.999999997150052;NA;NA;NA;NA;NA;NA;NA;2.42695879936218;0.0294463634490967;0.0427024364471436;NA;7457.01264959224;7444.33022863926
478;5;2;2;0.927005127942424;0.854832745554549;0.927061299848823;0.782932769513307;1;1;1;1;1;1;1;1;1;1;1;0.927005127942424;0.854832745554549;1;1;1;2.69905924797058;0.383200168609619;0.12650465965271;15.7945191860199;86723.6638903158;86723.7242566718
340;3;4;3;0.999896098487252;0.999925635832916;0.99985835024521;NA;NA;0.999997789798736;0.999985982925435;0.99995631739;NA;NA;0.999997789798736;0.999925635832916;0.999997430902286;NA;NA;0.916872275998418;0.990306935126053;0.997141937450859;NA;NA;2.59006118774414;0.104057550430298;0.0580177307128906;28.7701094150543;22766.1784421705;22765.5906834744
470;3;10;2;0.999999722269717;0.999986049983249;0.999999388936844;NA;NA;1;0.999999992182039;0.999999388936844;NA;NA;1;0.999999992182039;0.999999388936844;NA;NA;NA;NA;NA;NA;NA;2.71502375602722;0.101400136947632;0.0894391536712646;NA;12365.8104422234;12365.8104422234
80;3;10;3;0.989908332643357;0.562912720471353;0.998819355432865;NA;NA;0.999999181873092;0.999969452632999;0.999999181873092;NA;NA;0.999062437085693;0.999799593751457;0.999948205446387;NA;NA;NA;NA;NA;NA;NA;2.18014454841614;0.00145745277404785;0.00507164001464844;NA;470.482845115608;466.320257582286
200;5;4;4;0.999220307605828;0.94172552178798;0.945828036163614;0.61006964060673;0.756139916129148;0.999999958946022;0.999999342717706;0.999992245953291;0.99999968972905;0.999956445085888;0.999999958946022;0.999954884345226;0.999395307062405;0.99999968972905;0.998646293166168;0.725988480455121;0.970215540513841;0.966431860124469;0.954058592325708;0.778709969393514;2.83626580238342;0.0164649486541748;0.0250694751739502;35.9046075344086;11572.4055175396;11564.1013428033
134;2;2;2;0.859293570853689;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;2.22496700286865;0.00891757011413574;0.0173196792602539;10.0576686859131;3733.99530830362;3733.99530830362
280;5;4;2;0.997668833328103;0.915718653977223;0.943076855218408;0.951721442044731;0.91888580685224;0.997668833328103;0.99642759822063;0.997665999088041;1;0.997670248297847;0.997668833328103;0.99642759822063;0.997665999088041;1;0.997670248297847;0.965286635955328;0.962681677132196;0.91875109831409;0.990057736849821;0.64969290800905;2.42495775222778;0.0547616481781006;0.0333042144775391;26.2313590049744;14886.5103020578;14881.12089491
500;3;2;2;0.928709594679078;1;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;NA;2.66048669815063;0.505028009414673;0.130668878555298;14.5768349170685;69948.7067948706;69948.7067948706
350;4;10;2;0.999966807637189;0.999524221936622;0.999998744286706;0.999882667670727;NA;0.99999761535766;0.999997762063258;0.999998744286706;1;NA;0.99999761535766;0.999997762063258;0.99997677574116;0.999998992776336;NA;NA;NA;NA;NA;NA;2.49371767044067;0.0400474071502686;0.053072452545166;NA;8160.18016045809;8153.40502117446
206;5;2;5;0.696726396505952;0.222868280979678;0.726955760291149;0.734176192576804;0.744896560332154;0.999732592928134;0.998704066052921;0.999718166674444;0.998088160798576;0.991439978014329;0.987820399600478;0.984886500383634;0.991542957466499;0.986907159382209;0.939512193419247;0.957882530297068;0.974967671169194;0.974002038921367;0.868555821552435;0.79954754011461;3.9367561340332;0.0236265659332275;0.0155107975006104;21.5506842136383;26223.86611398;26216.6402943666
178;4;2;4;0.90005677493397;0.646859585137949;0.415178278048449;0.638527967436275;NA;0.997533742415608;0.986271290964681;0.992662006966473;0.996578631659459;NA;0.997533742415608;0.972001452319021;0.992662006966473;0.815600489698688;NA;0.864112179541248;0.987529002684658;0.91414585463005;0.92493226120608;NA;2.43700337409973;0.0206506252288818;0.0141117572784424;16.2063066959381;16442.6775547571;16434.9832901237
